topic,description,video_url,Instructions,user1 decision,user1 decision date,user2,user3 decision date,user3,user3 decision date
hands1,videos of hands1,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/hands1/mp4/UC-FgFTUoZ0aGeKSL1pKjg4w.mp4,"You will see a few short previews of video from a certain category. It should give a general idea of the contents of videos. Use your judgment to decide if the total impression of the video you saw fits the category. It does not have to be 100%. If you are not sure, say no. We need to see human hands manipulating something in most of the video. For example, sculpting or writing. It is okay to have brief parts where hands are not visible.",,,,,,
hands1,videos of hands1,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/hands1/mp4/UC-OTf-8FcfNUqSS4vtVpo5g.mp4,"You will see a few short previews of video from a certain category. It should give a general idea of the contents of videos. Use your judgment to decide if the total impression of the video you saw fits the category. It does not have to be 100%. If you are not sure, say no. We need to see human hands manipulating something in most of the video. For example, sculpting or writing. It is okay to have brief parts where hands are not visible.",,,,,,
hands1,videos of hands1,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/hands1/mp4/UC-YydVLPmxOZN0mfWAxG8ug.mp4,"You will see a few short previews of video from a certain category. It should give a general idea of the contents of videos. Use your judgment to decide if the total impression of the video you saw fits the category. It does not have to be 100%. If you are not sure, say no. We need to see human hands manipulating something in most of the video. For example, sculpting or writing. It is okay to have brief parts where hands are not visible.",,,,,,
hands1,videos of hands1,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/hands1/mp4/UC-Z8J3xR9wLC-rCwkVMiatA.mp4,"You will see a few short previews of video from a certain category. It should give a general idea of the contents of videos. Use your judgment to decide if the total impression of the video you saw fits the category. It does not have to be 100%. If you are not sure, say no. We need to see human hands manipulating something in most of the video. For example, sculpting or writing. It is okay to have brief parts where hands are not visible.",,,,,,
hands1,videos of hands1,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/hands1/mp4/UC-ihOfZj4JQmEFPF1ATwo-Q.mp4,"You will see a few short previews of video from a certain category. It should give a general idea of the contents of videos. Use your judgment to decide if the total impression of the video you saw fits the category. It does not have to be 100%. If you are not sure, say no. We need to see human hands manipulating something in most of the video. For example, sculpting or writing. It is okay to have brief parts where hands are not visible.",,,,,,
hands1,videos of hands1,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/hands1/mp4/UC-jxbRDq0TMVSuPvgZGNCZw.mp4,"You will see a few short previews of video from a certain category. It should give a general idea of the contents of videos. Use your judgment to decide if the total impression of the video you saw fits the category. It does not have to be 100%. If you are not sure, say no. We need to see human hands manipulating something in most of the video. For example, sculpting or writing. It is okay to have brief parts where hands are not visible.",,,,,,
hands1,videos of hands1,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/hands1/mp4/UC0FpVnxduNcMgnGO2NvG0kw.mp4,"You will see a few short previews of video from a certain category. It should give a general idea of the contents of videos. Use your judgment to decide if the total impression of the video you saw fits the category. It does not have to be 100%. If you are not sure, say no. We need to see human hands manipulating something in most of the video. For example, sculpting or writing. It is okay to have brief parts where hands are not visible.",,,,,,
hands1,videos of hands1,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/hands1/mp4/UC0I2N1lhmvCzT_VUEMJBhag.mp4,"You will see a few short previews of video from a certain category. It should give a general idea of the contents of videos. Use your judgment to decide if the total impression of the video you saw fits the category. It does not have to be 100%. If you are not sure, say no. We need to see human hands manipulating something in most of the video. For example, sculpting or writing. It is okay to have brief parts where hands are not visible.",,,,,,
hands1,videos of hands1,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/hands1/mp4/UC0Le_ilaOlp9HftXeiMglsg.mp4,"You will see a few short previews of video from a certain category. It should give a general idea of the contents of videos. Use your judgment to decide if the total impression of the video you saw fits the category. It does not have to be 100%. If you are not sure, say no. We need to see human hands manipulating something in most of the video. For example, sculpting or writing. It is okay to have brief parts where hands are not visible.",,,,,,
hands1,videos of hands1,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/hands1/mp4/UC0iMm4rN6mA0rGlZIYJBmag.mp4,"You will see a few short previews of video from a certain category. It should give a general idea of the contents of videos. Use your judgment to decide if the total impression of the video you saw fits the category. It does not have to be 100%. If you are not sure, say no. We need to see human hands manipulating something in most of the video. For example, sculpting or writing. It is okay to have brief parts where hands are not visible.",,,,,,
hands1,videos of hands1,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/hands1/mp4/UC0jlpmVEbw8kcvrJ-oEUuig.mp4,"You will see a few short previews of video from a certain category. It should give a general idea of the contents of videos. Use your judgment to decide if the total impression of the video you saw fits the category. It does not have to be 100%. If you are not sure, say no. We need to see human hands manipulating something in most of the video. For example, sculpting or writing. It is okay to have brief parts where hands are not visible.",,,,,,
